"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","test_sort_dropdown_displayed","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","0","test_add_all_products_to_cart","tests","2025-12-31","broken","2025-12-31","TestProductsPage","test_products_page","",""
"Test that products are displayed","3","test_products_displayed","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","51","test_navigation_to_cart_page","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","53","test_sort_by_price_low_to_high","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","80","test_add_multiple_products_to_cart","tests","2025-12-31","failed","2025-12-31","TestProductsPage","test_products_page","",""
"","37","test_click_product_to_view_details","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","51","test_sort_by_price_high_to_low","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","36","test_checkout_calculations","tests","2025-12-31","passed","2025-12-31","TestCheckout","test_checkout","",""
"","29","test_add_product_to_cart","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","71","test_complete_checkout_successfully","","2025-12-31","passed","2025-12-31","","","",""
"Test page title is correct","2","test_page_title","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","49","test_sort_by_name_a_to_z","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
"","54","test_sort_by_name_z_to_a","tests","2025-12-31","passed","2025-12-31","TestProductsPage","test_products_page","",""
